,L,N,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
56,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1022.230942,997.483459,565.213806,546.696930,109.543091,90.928406,31.788065
57,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,927.042191,888.702606,548.562790,515.857178,95.325760,76.604568,26.261715
58,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,946.286362,921.124283,526.463974,509.317657,107.568695,77.561417,29.122396
59,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,952.641632,928.667679,647.489105,629.239288,83.662292,63.655243,21.081738
60,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1105.870422,1059.847672,764.929794,724.913986,89.550720,69.356140,23.605259
61,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1081.756226,1041.891998,755.221100,722.917557,91.786758,61.361420,22.522942
62,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,952.996262,910.184006,557.259644,520.260422,95.409439,79.776733,27.483654
63,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,904.762314,886.586945,507.275635,495.291733,97.997009,77.619019,27.572287
64,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,960.244675,935.982941,653.465988,636.369293,86.347488,59.207916,21.152248
65,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1016.817474,979.508804,593.857285,562.902618,101.340057,82.615265,29.364296
66,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1048.661255,1031.981186,708.523392,696.882690,85.714874,71.409683,23.587084
67,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,993.709244,974.108475,553.160294,540.130066,104.883453,87.023895,30.614925
68,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1074.354706,1035.977814,749.592087,717.735428,89.010025,62.849762,22.441986
69,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1008.423981,991.113922,563.407059,551.231323,102.132690,95.280441,30.985718
70,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1051.201324,1008.111252,609.799072,573.823837,106.553329,83.768814,30.651838
71,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1063.085648,1023.457230,742.123505,708.307770,85.906158,64.716904,22.199593
72,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,966.011749,940.883667,658.439346,640.191849,86.774017,58.743790,21.214445
73,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1087.063278,1056.034271,729.148941,703.746948,90.039886,75.613373,24.808792
74,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,907.759476,887.823776,509.046860,496.138382,98.544159,78.761337,27.650522
75,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1040.807663,1000.377014,601.904144,566.667603,101.826736,92.235886,30.539116
76,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1063.660019,1024.363617,742.375809,707.893097,81.520859,69.585098,22.258436
77,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,931.613937,910.467575,517.194305,503.191269,101.978027,81.139938,28.742418
78,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1072.141357,1034.064575,748.472092,717.052719,89.059113,64.169022,22.363594
79,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,989.205780,955.758881,670.622330,641.899170,83.598602,69.498230,22.062702
80,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1021.640778,982.204895,597.360138,564.893799,103.485184,81.979736,29.455421
81,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1099.759201,1052.973206,764.520782,724.109909,89.585526,66.377716,23.189323
82,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,955.135086,930.968323,652.392548,633.149796,81.511383,64.864227,20.931822
83,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,932.165848,911.141129,518.448883,503.662170,100.049393,84.389572,28.736923
84,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,928.141632,889.511642,548.468811,516.065308,93.611404,76.865784,26.322454
85,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1020.967407,996.039368,565.728348,547.563034,109.643631,86.905380,31.638849
86,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1065.754868,1027.022995,743.468658,710.994675,87.669617,65.116562,22.279516
87,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,999.460907,967.409393,672.871475,646.606049,87.394394,67.852478,22.597025
88,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1029.410889,988.978577,602.415543,570.351608,106.227356,80.001022,29.597778
89,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1027.559418,1003.075500,567.131943,549.382797,110.393616,88.442337,32.008381
90,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1062.338837,1023.791489,741.111237,708.259186,84.412216,66.950333,22.222321
91,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1091.136429,1063.039963,728.273270,707.851151,97.599945,68.910110,25.100540
92,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,924.283325,883.897125,546.289581,512.007080,92.613480,77.692413,26.215050
93,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1036.356277,996.262283,600.474747,566.230988,103.258743,90.039139,30.302711
94,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1046.493057,1027.349167,705.441925,693.348434,90.187241,66.250244,23.575144
