,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
314,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,50.153107,50.2733,28.175583,28.65509,8.6521,7.151871,1.498957
315,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,57.385468,55.452057,40.544815,39.015915,7.582428,5.810989,1.133079
316,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,61.546021,58.020569,43.574966,40.405426,7.820618,6.297424,1.212808
317,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,49.781021,50.231186,27.873016,28.553864,8.223053,7.466019,1.498781
318,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,59.862747,58.416397,42.399918,41.13945,7.134796,6.564102,1.183422
319,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,49.540466,49.950134,27.716019,28.499374,8.752731,6.927719,1.488346
320,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,51.705246,50.936951,29.22084,28.658859,8.392746,7.649109,1.539627
321,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,50.759399,49.90036,28.412094,27.890747,8.740128,7.07692,1.527692
322,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,60.459045,56.622208,42.758942,39.050064,6.944016,6.657715,1.20412
323,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,49.428513,49.296036,27.89711,27.909729,7.901169,7.380157,1.476712
324,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,59.590744,58.342453,42.367691,41.127029,6.655167,6.972748,1.172623
